,tic,lawsuit,SettlementAmount,Dismissed
749,KNXA,1,,Yes
750,KO,1,,Yes
751,KOS,1,10200000.0,No
752,KOSS,1,1000000.0,No
753,KRB,1,25000000.0,No
754,KRFT,1,,Ongoing
755,KRY,1,,Yes
756,KSP,1,,Yes
757,KSS,1,,Ongoing
758,KSU,1,,Ongoing
759,KUN,1,800000.0,No
760,KV,1,,Ongoing
761,KVA,1,12800000.0,No
762,LAS,1,,Ongoing
763,LAVA,1,13500000.0,No
764,LAZ,1,,Yes
765,LBSV,1,,Ongoing
766,LCAV,1,,Yes
767,LCI,1,,Yes
768,LCRD,1,,Yes
769,LDIS,1,4200000.0,No
770,LDK,1,16000000.0,No
771,LEAP,1,13750000.0,No
772,LEDS,1,,Ongoing
773,LEH,1,,Ongoing
774,LEND,1,22000000.0,No
775,LF,1,,Ongoing
776,LFT,1,,No
777,LGF,1,,Ongoing
778,LHCG,1,,Ongoing
779,LHSP,1,,Yes
780,LIME,1,2500000.0,No
781,LINC,1,,Yes
782,LINK,1,5000000.0,No
783,LIQD,1,,Ongoing
784,LITB,1,,Ongoing
785,LIWA,1,,Ongoing
786,LIZ,1,,Yes
787,LL,1,,Ongoing
788,LLEN,1,,Ongoing
789,LLL,1,,Ongoing
790,LLNW,1,1900000.0,No
791,LLY,1,,Yes
792,LM,1,,Yes
793,LMT,1,19500000.0,No
794,LNCE,1,,Yes
795,LNCO,1,,Ongoing
796,LOCK,1,,Ongoing
797,LOCO,1,,Ongoing
798,LOGI,1,,Yes
799,LOUD,1,,Yes
800,LPH,1,,Ongoing
801,LPHI,1,,Ongoing
802,LPL,1,18000000.0,No
803,LPMA,1,,Yes
804,LPR,1,,Ongoing
805,LPS,1,14000000.0,No
806,LQDT,1,,Ongoing
807,LRN,1,6750000.0,Yes
808,LTD,1,,Yes
809,LTM,1,,Ongoing
810,LULU,1,,Yes
811,LUM,1,8000000.0,No
812,LVLT,1,,Yes
813,LVS,1,,Ongoing
814,LWSN,1,,Yes
815,LYG,1,,Yes
816,M,1,,Yes
817,MAKO,1,,Yes
818,MAMA,1,3150000.0,No
819,MATK,1,6000000.0,No
820,MBI,1,,Yes
821,MBII,1,,Ongoing
822,MBLX,1,,Yes
823,MCCC,1,,Yes
824,MCO,1,,Ongoing
825,MCOX,1,,Ongoing
826,MCP,1,,Ongoing
827,MDBX,1,,Ongoing
828,MDCA,1,,Ongoing
829,MDCO,1,,Ongoing
830,MDOR,1,,Yes
831,MDR,1,,Ongoing
832,MDRX,1,10150000.0,Ongoing
833,MDT,1,85000000.0,Ongoing
834,MDTL,1,,Yes
835,MDVN,1,,Yes
836,MDXG,1,,Yes
837,MEAD,1,2950000.0,No
838,MED,1,,Yes
839,MEDX,1,,No
840,MEE,1,265000000.0,No
841,MELA,1,,Yes
842,MEND,1,,Yes
843,MER,1,150000000.0,Yes
844,MERQ,1,,No
845,MET,1,,Ongoing
846,MF,1,90000000.0,Yes
847,MFC,1,,Yes
848,MFGLQ,1,,Ongoing
849,MGA,1,,Yes
850,MGI,1,80000000.0,No
851,MGM,1,,Ongoing
852,MHP,1,,Yes
853,MHR,1,,Ongoing
854,MIG,1,,Ongoing
855,MIK,1,,Yes
856,MILL,1,,Ongoing
857,MITI,1,,Yes
858,MIX,1,45000000.0,No
859,MLNK,1,,Ongoing
860,MLNX,1,,Ongoing
861,MLS,1,202750000.0,No
862,MM,1,,Ongoing
863,MNDO,1,,Yes
864,MNKD,1,16000000.0,No
865,MNST,1,47500000.0,Yes
866,MOBL,1,,Ongoing
867,MODN,1,,Yes
868,MOH,1,,Yes
869,MOLG,1,,Ongoing
870,MOLX,1,10500000.0,No
871,MON,1,,Yes
872,MONT,1,,Ongoing
873,MOT,1,200000000.0,No
874,MOTR,1,,Yes
875,MOTV,1,7000000.0,No
876,MOV,1,,Ongoing
877,MR,1,,Yes
878,MRGE,1,16000000.0,Ongoing
879,MRK,1,215000000.0,No
880,MRVC,1,10000000.0,No
881,MRVL,1,72000000.0,Ongoing
882,MRX,1,18000000.0,No
883,MS,1,95000000.0,No
884,MSFT,1,,Ongoing
885,MSX,1,,Yes
886,MTEX,1,11250000.0,No
887,MTG,1,,Yes
888,MTL,1,,Yes
889,MTXX,1,4500000.0,No
890,MTZ,1,,Ongoing
891,MU,1,42000000.0,No
892,MW,1,,Yes
893,MWY,1,,Yes
894,MX,1,,Ongoing
895,MXPT,1,,Ongoing
896,MXWL,1,,Ongoing
897,MYG,1,,Yes
898,N.D. Cal,1,125000000.0,No
899,NAFC,1,6750000.0,No
900,NATRE,1,6000000.0,No
901,NAV,1,,Ongoing
902,NAVR,1,7200000.0,No
903,NAVZ,1,13000000.0,No
904,NBIX,1,,Yes
905,NCC,1,11000000.0,Yes
906,NCJH,1,,Yes
907,NCTY,1,,Yes
908,NDN,1,,Yes
909,NED,1,1750000.0,No
910,NEI,1,,Ongoing
911,NEM,1,15000000.0,No
912,NEP,1,,Yes
913,NEPT,1,,Yes
914,NES,1,,Ongoing
915,NEW,1,125000000.0,No
916,NEWN,1,,Ongoing
917,NEXC,1,4000000.0,No
918,NFI,1,,Yes
919,NFLD,1,1500000.0,No
